county_fips,total_population,adult_pop_45plus
12065,15450,8289
12067,8078,3595
12069,424462,219235
12071,834573,453402
12073,296913,104508
12075,46545,24387
12077,7706,3318
12079,18519,9177
12081,441095,243558
12083,409959,217305
12085,163315,96213
12086,2686867,1206260
12087,80614,45015
12089,101501,52354
12091,218464,87815
12093,41427,19189
12095,1471416,559814
12097,437784,167582
12099,1533801,778503
12101,632996,302495
12103,961596,525921
12105,818330,349995
12107,75955,37896
12109,320110,157212
12111,373586,187209
12113,203162,88485
12115,469013,297380
12117,484271,206664
12119,151565,118329
12121,46130,22089
12123,21582,10158
12125,15532,6497
12127,590357,305934
12129,36449,16256
12131,86354,41892
12133,25602,11793
13001,18457,8070
13003,8293,3280
13005,11124,4676
13007,2743,1481
13009,43396,17850
13011,19789,8976
13013,92792,34880
13015,115041,47644
13017,17128,7469
13019,18570,8199
13021,156512,62617
13023,12465,5454
13025,18401,8309
13027,16245,8101
13029,49739,16824
13031,84327,27841
13033,24438,10712
13035,26887,11263
13037,5457,2391
13039,58118,21358
13043,11059,4651
13045,127098,48452
13047,68910,31407
13049,12934,5242
13051,303655,122512
13053,8661,1282
13055,25222,11268
13057,286602,125091
13059,129933,40366
13061,2853,1481
13063,298300,104829
13065,6746,2867
13067,776743,309705
13069,43317,16743
13071,46167,18700
13073,165162,65237
13075,17714,7333
13077,155892,67049
13079,12277,6047
13081,19631,8850
13083,16165,7707
13085,31732,14601
13087,29087,12382
13089,762992,292107
13091,19776,9472
13093,10981,5518
13095,82645,33383
13097,149160,58223
13099,10563,4832
13101,3709,1467
13103,71541,26864
13105,20013,9356
13107,23119,9248
13109,10754,4426
13111,25955,15628
13113,123351,59282
13115,100113,41557
13117,272887,111727
13119,24782,10912
13121,1079105,409322
13123,32860,18385
13125,2954,1410
13127,86172,41832
13129,59757,25581
13131,26066,11632
13133,20722,12118
13135,983526,370596
13137,48757,21267
13139,217267,90704
13141,8676,4525
13143,32038,13381
13145,36654,17714
13147,27556,13783
13149,12034,5371
13151,254613,100506
13153,171974,64776
13155,9120,4036
13157,88615,35292
13159,16455,7354
13161,14906,6183
13163,15183,6721
13165,8627,3712
13167,9282,4385
13169,28969,12968
13171,20401,8536
13173,10452,4112
13175,49941,21434
13177,33872,13315
13179,69210,18203
13181,7879,4230
13183,19594,6155
13185,120712,40644
13187,35258,14739
13189,21799,9608
13191,11501,6699
13193,11817,5339
13195,32191,14044
13197,7440,3800
13199,20931,10056
13201,5747,2749
13205,21114,9262
13207,30625,14089
13209,8761,3825
13211,21460,10270
13213,41035,17395
13215,201877,75834
13217,120135,47447
13219,44182,19490
13221,15754,7359
13223,183164,70217
13225,28805,12016
13227,35969,18536
13229,20425,8768
13231,20461,8965
13233,44223,17777
13235,10095,4828
13237,23129,12233
13239,2280,1342
13241,17442,9976
13243,6078,3080
13245,205414,77858
13247,95987,41467
13249,4526,2140
13251,14174,6783
13253,9092,4782
13255,69946,30152
13257,27228,12550
13259,4674,1800
13261,28890,11825
13263,5718,3248
13265,1609,893
13267,24296,9875
13269,7758,3895
13271,10920,5091
13273,8718,4028
13275,45649,20426
13277,41554,16544
13279,27040,10722
13281,13035,8244
13283,6341,2667
13285,70742,28868
13287,8909,3814
13289,7691,4118
13291,27124,16794
13293,28263,12717
13295,69489,32021
13297,106702,45561
13299,36243,14814
13301,5106,2571
13303,19820,8830
13305,31373,12766
13307,2337,1308
13309,7081,3007
13311,29026,14713
13313,103687,41159
13315,8779,3954
13317,9518,4837
13319,8725,4111
13321,20273,9537
15001,207615,102008
15003,989408,431426
15005,81,57
15007,73851,35508
15009,164183,78610
16001,524673,216861
16003,4903,2864
16005,90400,33220
16007,6766,3027
16009,10369,5187
16011,50395,18668
16013,25041,13080
16015,8517,5075
16017,52547,28090
16019,131366,45250
16021,13557,6596
16023,2758,1365
16025,1232,649
16027,257674,95112
16029,7219,2928
16031,25696,9045
16033,801,349
16035,9214,5326
16037,4523,2639
16039,29724,10513
16041,15494,5710
16043,14196,6063
16045,21071,10280
16047,16061,6764
16049,17890,9624
16051,34198,11523
16053,25479,9111
16055,185010,83432
16057,41301,13996
16059,8441,4714
16061,3739,1970
16063,5450,2149
16065,54547,7850
16067,22480,8548
16069,42987,19769
16071,4953,2108
16073,12722,5560
16075,27279,11933
16077,8253,3089
16079,14026,6906
16081,12549,5497
16083,95156,36660
16085,12644,7019
16087,11425,5693
17001,64441,29372
17003,4695,2458
17005,16450,7208
17007,53202,23439
17009,6294,2517
17011,32729,16231
17013,4317,2343
17015,15526,7848
17017,12596,5521
17019,205644,69171
17021,33228,15782
17023,15088,7124
17025,12999,6083
17027,36785,16676
17029,46060,19169
17031,5087072,2086957
17033,18300,8492
17035,10261,4897
17037,100288,35365
17039,15365,7330
17041,19629,8382
17043,921213,404002
17045,16334,8353
17047,5968,2988
17049,34331,15061
17051,21164,9422
17053,13250,6010
17055,37138,17637
17057,32541,15802
17059,4670,2509
17061,11543,5696
17063,53578,21980
17065,7911,3786
17067,17186,8674
17069,3569,1964
17071,6088,3420
17073,48448,23420
17075,26136,12899
17077,52141,19170
17079,9144,4424
17081,36320,16644
17083,21091,10259
17085,21756,12442
17087,13326,6140
17089,514982,217787
17091,105940,45414
17093,139976,50852
17095,48411,22901
17097,708760,302760
17099,108309,50340
17101,14813,6579
17103,33654,16266
17105,35320,16072
17107,27590,12210
17109,26839,10643
17111,312800,139535
17113,170441,63364
17115,100591,45880
17117,44018,21655
17119,262752,116686
17121,36673,16728
17123,11683,5926
17125,12523,6381
17127,13661,6912
17129,11954,5792
17131,15487,7591
17133,34957,16768
17135,27663,13093
17137,32140,15014
17139,14342,6219
17141,51265,23929
17143,177513,74040
17145,20503,9413
17147,16714,7968
17149,14342,6675
17151,3707,2412
17153,4911,2388
17155,5561,2880
17157,29815,14124
17159,15488,7249
17161,141236,62934
17163,251018,108404
17165,22873,11078
