county_fips,state_abbr,county_name,cmr_facility_count,cct_facility_count,svi_percentile,svi_quartile,rucc_code,metro_indicator,total_population,adult_pop_45plus,rate_excluded,cmr_rate_per_100k,cct_rate_per_100k
48265,TX,Kerr,0,0,0.7442,3,4.0,0,53915,28797,0,0.0,0.0
12053,FL,Hernando,0,2,0.6602,3,1.0,1,212807,111221,0,0.0,1.7982215588782695
12129,FL,Wakulla,0,0,0.3058,2,2.0,1,36449,16256,0,0.0,0.0
12131,FL,Walton,0,1,0.6287,3,2.0,1,86354,41892,0,0.0,2.387090613959706
28017,MS,Chickasaw,0,0,0.9542,4,9.0,0,16866,7157,0,0.0,0.0
02130,AK,Ketchikan Gateway,0,0,0.5027,3,7.0,0,13738,6079,0,0.0,0.0
26035,MI,Clare,0,0,0.693,3,8.0,0,31316,16853,0,0.0,0.0
20157,KS,Republic,0,0,0.041,1,9.0,0,4627,2316,0,0.0,0.0
12127,FL,Volusia,1,3,0.6987,3,2.0,1,590357,305934,0,0.3268678865376192,0.9806036596128577
40017,OK,Canadian,0,0,0.3433,2,1.0,1,175829,63927,0,0.0,0.0
13115,GA,Floyd,1,0,0.9284,4,3.0,1,100113,41557,0,2.40633346969223,0.0
32001,NV,Churchill,0,0,0.6271,3,6.0,0,25803,11118,0,0.0,0.0
31181,NE,Webster,0,0,0.0375,1,9.0,0,3351,1630,0,0.0,0.0
17067,IL,Hancock,0,0,0.0885,1,9.0,0,17186,8674,0,0.0,0.0
46067,SD,Hutchinson,0,0,0.1209,1,8.0,0,7394,3387,0,0.0,0.0
41013,OR,Crook,0,0,0.356,2,3.0,1,26952,13830,0,0.0,0.0
50011,VT,Franklin,0,0,0.1219,1,3.0,1,50994,23083,0,0.0,0.0
26103,MI,Marquette,0,1,0.2291,1,5.0,0,66999,28828,0,0.0,3.468849729429721
37057,NC,Davidson,0,1,0.553,3,2.0,1,174804,81720,0,0.0,1.2236906510034262
17025,IL,Clay,0,0,0.5813,3,9.0,0,12999,6083,0,0.0,0.0
29103,MO,Knox,0,0,0.2679,2,9.0,0,3723,1767,0,0.0,0.0
29117,MO,Livingston,0,0,0.3073,2,7.0,0,14557,6408,0,0.0,0.0
42117,PA,Tioga,0,0,0.2975,2,8.0,0,40840,20470,0,0.0,0.0
31043,NE,Dakota,0,0,0.7321,3,3.0,1,21268,7657,0,0.0,0.0
26089,MI,Leelanau,1,1,0.0118,1,3.0,1,23019,13968,0,7.15922107674685,7.15922107674685
51181,VA,Surry,0,0,0.448,2,1.0,1,6593,3620,0,0.0,0.0
48391,TX,Refugio,0,0,0.9653,4,8.0,0,6666,3145,0,0.0,0.0
39017,OH,Butler,0,4,0.4346,2,1.0,1,393043,158774,0,0.0,2.519304168188746
13273,GA,Terrell,0,0,0.9809,4,3.0,1,8718,4028,0,0.0,0.0
13063,GA,Clayton,0,0,0.9488,4,1.0,1,298300,104829,0,0.0,0.0
56013,WY,Fremont,0,0,0.7642,4,7.0,0,39815,17449,0,0.0,0.0
18115,IN,Ohio,0,0,0.1734,1,1.0,1,6004,3161,0,0.0,0.0
13073,GA,Columbia,0,0,0.23,1,2.0,1,165162,65237,0,0.0,0.0
08115,CO,Sedgwick,0,0,0.6729,3,9.0,0,2299,1256,0,0.0,0.0
30065,MT,Musselshell,0,0,0.2278,1,8.0,0,5308,2856,0,0.0,0.0
42043,PA,Dauphin,3,3,0.5476,3,2.0,1,289234,124330,0,2.4129333226091854,2.4129333226091854
46101,SD,Moody,0,0,0.2431,1,8.0,0,6450,2835,0,0.0,0.0
54079,WV,Putnam,0,0,0.077,1,2.0,1,56962,27073,0,0.0,0.0
34037,NJ,Sussex,1,1,0.0458,1,1.0,1,146132,70720,0,1.414027149321267,1.414027149321267
20039,KS,Decatur,0,0,0.0681,1,9.0,0,2712,1423,0,0.0,0.0
18123,IN,Perry,0,0,0.3182,2,7.0,0,19209,8738,0,0.0,0.0
28145,MS,Union,0,1,0.6977,3,7.0,0,28284,11779,0,0.0,8.489685032685287
31015,NE,Boyd,0,0,0.0601,1,9.0,0,1725,987,1,,
27095,MN,Mille Lacs,0,0,0.5406,3,1.0,1,27427,12373,0,0.0,0.0
38099,ND,Walsh,0,0,0.3385,2,8.0,0,10305,4981,0,0.0,0.0
39115,OH,Morgan,0,0,0.5425,3,8.0,0,13646,6750,0,0.0,0.0
39133,OH,Portage,0,1,0.3293,2,2.0,1,162665,71301,0,0.0,1.402504873704436
56041,WY,Uinta,0,0,0.2803,2,7.0,0,20745,8495,0,0.0,0.0
32013,NV,Humboldt,0,0,0.616,3,7.0,0,17136,6812,0,0.0,0.0
48247,TX,Jim Hogg,0,0,0.6427,3,8.0,0,4720,1817,0,0.0,0.0
08017,CO,Cheyenne,0,0,0.0837,1,9.0,0,1727,788,1,,
41005,OR,Clackamas,1,0,0.3023,2,1.0,1,423173,195943,0,0.510352500472076,0.0
05113,AR,Polk,0,0,0.6863,3,7.0,0,19436,9582,0,0.0,0.0
13193,GA,Macon,0,0,0.9866,4,8.0,0,11817,5339,0,0.0,0.0
18007,IN,Benton,0,0,0.3369,2,3.0,1,8729,3799,0,0.0,0.0
47129,TN,Morgan,0,0,0.6122,3,2.0,1,21573,10008,0,0.0,0.0
46043,SD,Douglas,0,0,0.3166,2,9.0,0,2838,1310,0,0.0,0.0
24047,MD,Worcester,0,0,0.4305,2,4.0,0,54171,30365,0,0.0,0.0
17185,IL,Wabash,0,0,0.4209,2,7.0,0,10942,5234,0,0.0,0.0
18069,IN,Huntington,0,0,0.1362,1,6.0,0,36781,16551,0,0.0,0.0
21209,KY,Scott,0,0,0.1572,1,2.0,1,60168,23167,0,0.0,0.0
19053,IA,Decatur,0,0,0.524,3,9.0,0,7665,3220,0,0.0,0.0
18169,IN,Wabash,0,0,0.147,1,6.0,0,30670,14709,0,0.0,0.0
18003,IN,Allen,2,1,0.5374,3,2.0,1,394545,153221,0,1.3053041032234485,0.6526520516117242
