fips,edi_raw,edi_national_percentile
01001,-1.1514387672209214,28.4301212507977
01003,-1.1638783245962507,28.079132099553288
01005,3.5504171151744064,96.07530312699426
01007,2.125999399759378,87.14103382259094
01009,0.3118553602232701,59.891512444160824
01011,4.212568579783713,97.44735162731334
01013,2.2993155656231377,88.80025526483728
01015,1.5016950933451976,80.7275047862157
01017,1.6184241788839904,82.03573707721762
01019,0.8274619151953394,69.6553924696873
01021,0.40140280919126603,61.8379068283344
01023,2.0386502185355404,86.24760689215061
01025,3.113100005382585,94.35226547543077
01027,1.4291185680167593,79.73835354179963
01029,0.6766126823545651,67.00701978302489
01031,0.3978313884531443,61.77409061901723
01033,0.5717648888879013,64.96490108487556
01035,2.767926944921231,92.59731971920868
01037,0.998950660707897,72.78238672622847
01039,1.357143887102109,78.52584556477346
01041,1.7250086853219158,82.99298021697511
01043,-0.009492731860492714,53.41416719846841
01045,1.9512791005429286,85.25845564773452
01047,4.39263129423126,97.83024888321634
01049,1.7357791397549203,83.28015315890237
01051,-1.031366773794688,31.397574984045946
01053,2.7164897410181856,92.24633056796426
01055,1.0593340655321566,74.15443522654755
01057,2.3825659267420316,89.5022335673261
01059,1.4472734087938022,79.89789406509253
01061,1.2435393607454797,76.86662412252713
01063,4.400505339502123,97.8940650925335
01065,3.124545683622329,94.41608168474792
01067,0.8824815774470953,70.64454371410338
01069,0.9557808751867148,72.04850031908104
01071,1.4008847662220756,79.25973197192087
01073,0.27665784247473124,59.41289087428206
01075,0.9476810551269413,71.76132737715379
01077,-0.15446985508883757,49.90427568602425
01079,0.528362549343702,64.16719846841097
01081,-0.31065310414370556,46.330567964262926
01083,-1.4307283246450533,22.399489470325463
01085,4.5928975794609865,98.37268666241226
01087,4.622940487238881,98.468410976388
01089,-1.5529216329272755,20.16592214422463
01091,1.5089980151948374,80.88704530950862
01093,1.7227891185624222,82.92916400765795
01095,0.6347146128932489,66.14550095724314
01097,1.3273442701842286,78.11104020421186
01099,3.0982536217688508,94.16081684747925
01101,1.563353652581392,81.3018506700702
01103,-0.12034223173469068,50.86151882578175
01105,7.03733383710018,99.8085513720485
01107,1.995492213469737,85.60944479897894
01109,2.4329218029725883,89.91703892788769
01111,1.1390739736291593,75.5902999361838
01113,2.443917312146933,90.0765794511806
01115,-0.9255729019745051,33.24824505424378
01117,-3.1186582011396102,3.286534779834078
01119,3.92978362844591,96.80918953414167
01121,1.8388193725188908,84.30121250797703
01123,1.9553522841018944,85.35417996171027
01125,0.34030571485023936,60.84875558391831
01127,1.049967907047176,73.89917038927888
01129,0.9484105257898634,71.79323548181237
01131,5.172991114094408,98.88321633694959
01133,1.3849914375776693,79.03637523931079
02013,-0.712427494335742,37.587747287811105
02016,-3.1963649764964086,3.0312699425654115
02020,-2.144268331231588,10.178685386088066
02050,3.2883100932555696,95.0542437779196
02060,-3.3403827333632283,2.361199744735163
02063,-2.202834172239665,9.5405232929164
02066,-0.5195988870814683,41.735800893426934
02068,-3.336251144058281,2.393107849393746
02070,1.188152078579676,76.29227823867262
02090,-2.1250907639465044,10.465858328015317
02100,-1.5536179193015558,20.070197830248883
02105,1.1557123425980083,75.90938098276962
02110,-3.0011258490573023,3.7332482450542437
02122,-1.1227246463425389,29.036375239310786
02130,-1.8594585666737597,14.518187619655393
02150,-1.9523972590224588,12.827058072750477
02158,5.647253306274332,99.39374601148691
02164,1.2735595951070546,77.2814294830887
02170,-1.5881215883665079,19.4639438417358
02180,2.5246724723390614,90.81046585832802
02185,-1.9204399199830182,13.401403956604977
02188,1.9718019698035119,85.54562858966177
02195,-1.6512501020869113,18.251435864709638
02198,0.2270100336511214,58.35992342054882
02220,-2.5294461524495144,6.541161455009573
02230,-1.2773919042700352,25.366943203573705
02240,-1.0098832028027667,31.844288449266113
02275,-0.7929659386929077,36.056158264199105
02282,-2.5681329744709944,6.190172303765156
02290,2.205886037373742,88.06636885768985
04001,3.495290247423076,95.94767070835992
04003,0.9631729804913141,72.23994894703254
04005,0.46123283689755795,63.018506700701984
04007,1.5926829665887103,81.74856413529037
04009,0.2987289650792494,59.700063816209315
04011,-1.8866653583845383,14.00765794511806
04012,2.4628306056551272,90.20421186981493
04013,-1.0937911244722607,29.86598596043395
04015,1.1852803887566918,76.22846202935546
04017,2.823377045017851,92.82067645181876
04019,0.17353898374407942,57.4345883854499
04021,-0.6539370267776656,38.9278876834716
04023,2.8742722329150103,93.39502233567326
04025,-0.35432255209338437,45.40523292916401
04027,2.1081748211101266,86.94958519463944
05001,1.3199674821365492,77.91959157626037
05003,2.1511737104866038,87.52393107849393
05005,0.7118575826679064,67.61327377153798
05007,-2.3022682397326153,8.774728781110403
05009,-0.12579599964637123,50.70197830248884
