fips,adi_raw,adi_national_percentile
01001,-1.1514387672209132,28.4301212507977
01003,-1.163878324596252,28.079132099553288
01005,3.5504171151744104,96.07530312699426
01007,2.1259993997593805,87.14103382259094
01009,0.31185536022327087,59.891512444160824
01011,4.212568579783718,97.44735162731334
01013,2.2993155656231408,88.80025526483728
01015,1.5016950933451993,80.7275047862157
01017,1.6184241788839915,82.03573707721762
01019,0.8274619151953401,69.6553924696873
01021,0.4014028091912665,61.8379068283344
01023,2.0386502185355413,86.24760689215061
01025,3.1131000053825897,94.35226547543077
01027,1.4291185680167606,79.73835354179963
01029,0.6766126823545653,67.00701978302489
01031,0.3978313884531446,61.77409061901723
01033,0.5717648888879017,64.96490108487556
01035,2.767926944921233,92.59731971920868
01037,0.9989506607078978,72.78238672622847
01039,1.35714388710211,78.52584556477346
01041,1.725008685321918,82.99298021697511
01043,-0.009492731860492858,53.41416719846841
01045,1.951279100542932,85.25845564773452
01047,4.392631294231266,97.83024888321634
01049,1.7357791397549212,83.28015315890237
01051,-1.0313667737946892,31.397574984045946
01053,2.716489741018188,92.24633056796426
01055,1.0593340655321577,74.15443522654755
01057,2.3825659267420347,89.5022335673261
01059,1.447273408793803,79.89789406509253
01061,1.2435393607454805,76.86662412252713
01063,4.400505339502126,97.8940650925335
01065,3.1245456836223324,94.41608168474792
01067,0.8824815774470961,70.64454371410338
01069,0.9557808751867158,72.04850031908104
01071,1.4008847662220765,79.25973197192087
01073,0.27665784247473163,59.41289087428206
01075,0.9476810551269421,71.76132737715379
01077,-0.154469855088838,49.90427568602425
01079,0.528362549343702,64.16719846841097
01081,-0.3106531041437061,46.330567964262926
01083,-1.4307283246450548,22.399489470325463
01085,4.592897579460992,98.37268666241226
01087,4.622940487238888,98.468410976388
01089,-1.5529216329272768,20.16592214422463
01091,1.5089980151948381,80.88704530950862
01093,1.7227891185624244,82.92916400765795
01095,0.6347146128932494,66.14550095724314
01097,1.32734427018423,78.11104020421186
01099,3.098253621768856,94.16081684747925
01101,1.5633536525813938,81.3018506700702
01103,-0.12034223173469093,50.86151882578175
01105,7.03733383710019,99.8085513720485
01107,1.9954922134697393,85.60944479897894
01109,2.4329218029725905,89.91703892788769
01111,1.13907397362916,75.5902999361838
01113,2.4439173121469357,90.0765794511806
01115,-0.925572901974506,33.24824505424378
01117,-3.1186582011396142,3.286534779834078
01119,3.929783628445915,96.80918953414167
01121,1.8388193725188935,84.30121250797703
01123,1.9553522841018973,85.35417996171027
01125,0.34030571485023986,60.84875558391831
01127,1.049967907047177,73.89917038927888
01129,0.9484105257898641,71.79323548181237
01131,5.172991114094414,98.88321633694959
01133,1.3849914375776702,79.03637523931079
02013,-0.7124274943357429,37.587747287811105
02016,-3.1963649764964126,3.0312699425654115
02020,-2.1442683312315904,10.178685386088066
02050,3.2883100932555753,95.0542437779196
02060,-3.3403827333632323,2.361199744735163
02063,-2.202834172239666,9.5405232929164
02066,-0.5195988870814687,41.735800893426934
02068,-3.336251144058286,2.393107849393746
02070,1.1881520785796782,76.29227823867262
02090,-2.1250907639465058,10.465858328015317
02100,-1.5536179193015573,20.070197830248883
02105,1.1557123425980111,75.90938098276962
02110,-3.001125849057306,3.7332482450542437
02122,-1.1227246463425393,29.036375239310786
02130,-1.859458566673762,14.518187619655393
02150,-1.9523972590224608,12.827058072750477
02158,5.647253306274341,99.39374601148691
02164,1.2735595951070575,77.2814294830887
02170,-1.5881215883665092,19.4639438417358
02180,2.5246724723390654,90.81046585832802
02185,-1.920439919983019,13.401403956604977
02188,1.9718019698035156,85.54562858966177
02195,-1.651250102086913,18.251435864709638
02198,0.22701003365112196,58.35992342054882
02220,-2.529446152449517,6.541161455009573
02230,-1.2773919042700355,25.366943203573705
02240,-1.0098832028027676,31.844288449266113
02275,-0.7929659386929083,36.056158264199105
02282,-2.5681329744709984,6.190172303765156
